N_ait [m^-3] R_ait [m] GSD_ait [unitless] N_acc [m^-3] R_acc [m] GSD_acc [unitless] N_coa [m^-3] R_coa [m] GSD_coa [unitless] temperature [K] pressure [Pa] updraft [m s^-1] ait_maf [unitless] acc_maf [unitless] coa_maf [unitless] Nact [m^-3] Smax [%%] runtime_seconds [s]
3.0743e+08 0.024093 1.59 5.5432e+08 0.1055 1.4 3.3732e+06 0.79155 2 258.88 79849 0.086251 0.38024 0.37631 0.9416 3.2453e+08 0.091365 2.239
1.3029e+09 0.017729 1.59 1.1572e+09 0.05738 1.4 5.5737e+06 0.60526 2 243.01 61567 0.26281 0.34144 0.13858 0.98355 6.0034e+08 0.36002 1.1365
5.4732e+08 0.03694 1.59 1.339e+09 0.10728 1.4 1.3379e+06 0.35722 2 258.21 80067 0.089049 0.82531 0.79884 0.92171 5.5484e+08 0.050812 7.0676
7.7218e+08 0.042267 1.59 8.6224e+08 0.12475 1.4 2.9235e+05 0.21186 2 290.87 60378 0.015338 0.91904 0.21955 0.95491 7.4965e+07 0.034209 8.4154
1.6219e+09 0.036595 1.59 1.586e+08 0.098822 1.4 4.2547e+05 0.42375 2 292.86 80538 0.23575 0.079803 0.49664 0.93471 1.7827e+08 0.16065 0.91253
1.6719e+09 0.035919 1.59 7.5127e+08 0.059169 1.4 4.987e+06 0.51247 2 267 91699 0.50314 0.088937 0.49864 0.91546 7.6771e+08 0.28524 0.76919
1.4351e+09 0.038262 1.59 5.8885e+08 0.1179 1.4 1.5366e+06 0.19059 2 255.65 57431 0.83237 0.08651 0.16824 0.95303 7.552e+08 0.34734 0.50769
1.9631e+09 0.036548 1.59 5.459e+08 0.067236 1.4 2.2811e+05 0.50092 2 257.44 1.0131e+05 0.10546 0.388 0.14138 0.99361 5.4313e+08 0.21342 1.192
1.7817e+08 0.028663 1.59 1.0942e+08 0.11529 1.4 4.8759e+06 0.30989 2 246.45 86821 0.33525 0.73884 0.87196 0.97127 2.029e+08 0.45659 1.2467
9.9199e+08 0.023651 1.59 1.4088e+09 0.12089 1.4 3.4835e+06 0.53504 2 251.98 98157 0.19001 0.91888 0.2276 0.99 1.0208e+09 0.11842 1.3331
1.299e+09 0.028756 1.59 9.8215e+08 0.063896 1.4 1.5025e+06 0.81602 2 257.39 92536 1.0168 0.67593 0.87653 0.91422 1.5035e+09 0.3799 0.69211
1.2119e+09 0.034657 1.59 1.1647e+09 0.1257 1.4 5.2432e+06 0.6728 2 285.1 80986 0.11463 0.65145 0.63717 0.97753 4.4366e+08 0.036559 4.1984
1.1933e+09 0.024043 1.59 1.2684e+09 0.093502 1.4 4.26e+06 0.37648 2 288.39 57923 0.5854 0.30119 0.22855 0.93389 9.3391e+08 0.14432 0.68503
1.1392e+09 0.012807 1.59 1.2107e+09 0.1204 1.4 4.4284e+06 0.81473 2 273.98 52225 0.96907 0.35367 0.37336 0.91538 1.1378e+09 0.13522 0.41272
1.1008e+09 0.025645 1.59 1.233e+09 0.097807 1.4 4.8388e+05 0.55123 2 289.74 87046 0.48857 0.82659 0.82856 0.94168 1.0857e+09 0.094417 0.77822
4.9928e+07 0.03719 1.59 7.0479e+06 0.073993 1.4 4.3147e+06 0.53743 2 296.34 73721 0.85942 0.23399 0.44906 0.97368 4.4253e+07 0.53892 0.71217
1.6793e+09 0.018836 1.59 1.0414e+09 0.074633 1.4 4.4276e+06 0.4313 2 293.85 53213 0.21053 0.19821 0.43946 0.96412 4.2026e+08 0.093762 0.77889
1.9714e+09 0.027195 1.59 1.1135e+09 0.062989 1.4 3.6289e+06 0.34145 2 274.64 96270 0.41523 0.57498 0.18762 0.91361 9.7384e+08 0.24721 0.56096
9.7607e+08 0.022045 1.59 1.2855e+09 0.058944 1.4 4.4987e+06 0.82865 2 245.88 68647 0.33459 0.77729 0.44043 0.99465 1.0355e+09 0.26963 1.0817
7.2615e+07 0.014392 1.59 4.5369e+08 0.063238 1.4 3.3108e+05 0.56143 2 272.13 94962 0.74156 0.27338 0.28235 0.96997 4.2403e+08 0.40256 0.5261
1.5225e+09 0.025341 1.59 6.3728e+08 0.058547 1.4 5.9367e+05 0.39348 2 273.76 63600 0.62578 0.55872 0.65772 0.92047 7.6812e+08 0.25177 0.48731
2.0061e+09 0.016168 1.59 8.8294e+08 0.11186 1.4 2.4101e+06 0.22945 2 258.81 91789 0.062646 0.55275 0.31415 0.93326 4.0976e+08 0.078452 2.5495
2.0428e+09 0.039109 1.59 9.532e+08 0.081517 1.4 1.4933e+06 0.25232 2 265.19 66588 0.4601 0.63416 0.62409 0.9466 1.2551e+09 0.15883 0.85155
1.9539e+09 0.020241 1.59 2.6911e+08 0.070651 1.4 5.274e+06 0.51083 2 280.48 85824 0.37273 0.37359 0.36437 0.95234 2.9888e+08 0.23815 0.96785
1.8834e+07 0.019845 1.59 3.642e+08 0.11236 1.4 3.9353e+06 0.62553 2 286.02 53542 0.95086 0.45749 0.84142 0.96651 3.6722e+08 0.18371 0.48652
1.1666e+09 0.02752 1.59 9.2642e+08 0.091362 1.4 3.6342e+06 0.41513 2 271.83 91413 0.010395 0.33827 0.13579 0.96065 2.0969e+07 0.05416 9.6167
1.79e+09 0.017637 1.59 5.7423e+08 0.066954 1.4 4.7269e+06 0.17726 2 289.65 76052 0.058953 0.27823 0.36534 0.96145 1.5316e+08 0.1006 1.4017
8.3146e+08 0.018617 1.59 6.3506e+08 0.063785 1.4 3.9614e+06 0.20767 2 257.65 81634 0.9673 0.51207 0.27229 0.91684 7.6489e+08 0.51236 0.74998
8.7577e+08 0.041219 1.59 7.1341e+08 0.078375 1.4 5.0165e+06 0.66941 2 251.04 94227 1.0115 0.0095058 0.90934 0.93095 7.2916e+08 0.46927 0.72198
1.9542e+09 0.040459 1.59 1.4193e+09 0.067702 1.4 3.2433e+06 0.2328 2 263.77 98110 0.69817 0.40208 0.53107 0.94984 1.9802e+09 0.25439 0.72759
4.1001e+08 0.046344 1.59 5.8765e+07 0.085076 1.4 8.9376e+05 0.63182 2 262.16 93705 0.37559 0.83521 0.7499 0.95003 3.7684e+08 0.32486 0.99186
1.6232e+09 0.041172 1.59 1.4401e+09 0.060707 1.4 2.8096e+06 0.78952 2 274.52 66938 0.23865 0.59231 0.65754 0.9871 8.2435e+08 0.11895 1.1068
8.3049e+08 0.044993 1.59 1.3632e+09 0.059344 1.4 5.0287e+06 0.48096 2 258.5 73100 0.64701 0.036141 0.87074 0.92558 1.2595e+09 0.25569 0.51905
1.0263e+09 0.014117 1.59 6.1191e+08 0.1148 1.4 1.1559e+06 0.72497 2 274.6 68878 0.025269 0.86945 0.40406 0.95709 1.1473e+08 0.040976 6.8441
8.3656e+08 0.045121 1.59 1.2958e+09 0.11528 1.4 4.9384e+06 0.63398 2 248.84 95839 0.016051 0.015452 0.49611 0.9778 1.0896e+08 0.033095 93.144
2.6085e+08 0.0325 1.59 2.5803e+08 0.069017 1.4 4.8155e+06 0.70915 2 270.15 73147 1.0141 0.6424 0.95406 0.99757 4.055e+08 0.3853 0.66056
1.8266e+09 0.02564 1.59 1.6131e+08 0.11105 1.4 1.9308e+06 0.57426 2 269.24 65679 1.1412 0.43412 0.94999 0.99005 6.3871e+08 0.38846 0.43967
7.2978e+08 0.034809 1.59 1.0725e+09 0.090939 1.4 5.1377e+06 0.52707 2 245.22 55938 0.29055 0.88245 0.30997 0.99908 9.5093e+08 0.1732 0.87819
1.5691e+09 0.027325 1.59 7.3884e+08 0.073533 1.4 2.0203e+06 0.56404 2 294.43 94611 0.43799 0.39018 0.76528 0.98793 7.0293e+08 0.14792 0.75967
5.5838e+08 0.019097 1.59 1.1755e+09 0.074586 1.4 4.4648e+06 0.56113 2 287.6 87441 0.93317 0.041388 0.49921 0.93466 1.0812e+09 0.20873 0.61377
9.6534e+08 0.0348 1.59 3.5658e+08 0.12051 1.4 3.7165e+05 0.58065 2 269.24 78585 0.13808 0.036725 0.23763 0.9578 3.0341e+08 0.13388 1.4351
1.2577e+09 0.015403 1.59 6.9244e+08 0.097909 1.4 1.5924e+06 0.34657 2 290.82 54789 0.51821 0.25509 0.88346 0.96907 6.2333e+08 0.099381 0.54308
1.6911e+09 0.047959 1.59 7.6101e+08 0.078096 1.4 85136 0.28138 2 259.47 56557 0.093412 0.75511 0.36722 0.92021 4.5648e+08 0.094727 1.8354
1.6326e+09 0.03953 1.59 4.667e+08 0.09869 1.4 1.613e+06 0.82748 2 280.07 90959 0.19178 0.43816 0.54164 0.9584 5.1559e+08 0.1107 0.75226
1.0311e+09 0.042849 1.59 9.6008e+08 0.068905 1.4 4.9985e+06 0.50786 2 274.88 59076 0.62973 0.11182 0.36278 0.99093 8.5698e+08 0.21501 0.45919
1.0326e+08 0.040155 1.59 3.6974e+08 0.07307 1.4 4.4796e+06 0.86292 2 244.51 71689 0.096871 0.91301 0.66431 0.98732 2.71e+08 0.14741 1.9463
9.2985e+08 0.028901 1.59 1.4025e+09 0.07767 1.4 5.2862e+06 0.74774 2 274.3 54165 0.84028 0.48465 0.83435 0.96494 1.2646e+09 0.14554 0.63059
1.4071e+09 0.025215 1.59 4.3982e+08 0.085621 1.4 1.3511e+05 0.24323 2 275.18 58142 1.0037 0.61132 0.061095 0.91923 7.5711e+08 0.35737 0.41719
1.3508e+09 0.034506 1.59 7.1899e+08 0.065996 1.4 3.6297e+06 0.49135 2 246.28 55102 1.0489 0.36522 0.84176 0.96483 1.2976e+09 0.42652 0.4659
