N_ait [m^-3] R_ait [m] GSD_ait [unitless] N_acc [m^-3] R_acc [m] GSD_acc [unitless] N_coa [m^-3] R_coa [m] GSD_coa [unitless] N_mcb [m^-3] R_mcb [m] GSD_mcb [unitless] temperature [K] pressure [Pa] updraft [m s^-1] ait_maf [unitless] acc_maf [unitless] coa_maf [unitless] mcb_maf [unitless] Nact [m^-3] Smax [%%] runtime_seconds [s]
1.3029e+09 0.017729 1.59 1.1572e+09 0.05738 1.4 5.5737e+06 0.60526 2 1.8141e+09 0.1217 1.985 243.01 61567 0.26281 0.34144 0.13858 0.98355 1 6.3362e+08 0.049089 562.45
1.1666e+09 0.02752 1.59 9.2642e+08 0.091362 1.4 3.6342e+06 0.41513 2 1.821e+09 0.12975 1.9653 271.83 91413 0.010395 0.33827 0.13579 0.96065 1 7.3913e+07 0.0064081 14647
4.1988e+08 0.015871 1.59 5.5378e+08 0.11665 1.4 9.6292e+05 0.4657 2 1.4813e+09 0.12216 1.5058 244.63 96594 0.075534 0.17393 0.19421 0.97158 1 5.0656e+08 0.033332 947.69
5.0548e+08 0.045539 1.59 4.845e+08 0.11018 1.4 2.6954e+06 0.4494 2 1.5284e+09 0.14822 1.9691 258.2 98891 0.17206 0.83428 0.50718 0.92223 1 5.415e+08 0.025828 596.26
7.0745e+08 0.012075 1.59 5.4821e+08 0.10897 1.4 4.3621e+06 0.87657 2 1.1537e+09 0.14477 1.9167 251.36 88283 0.24044 0.37869 0.86217 0.96479 1 6.2135e+08 0.037611 354.25
1.7573e+09 0.021673 1.59 7.2724e+08 0.073504 1.4 19938 0.84801 2 1.7531e+09 0.13018 1.8654 252.18 1.0014e+05 0.1253 0.12666 0.16211 0.95512 1 5.5532e+08 0.026941 679.47
6.4891e+08 0.03705 1.59 1.1012e+09 0.066089 1.4 1.8422e+06 0.36674 2 6.0109e+08 0.14346 1.6255 247.47 96804 0.044267 0.36206 0.28203 0.96395 1 2.3967e+08 0.024273 382.53
5.2165e+08 0.017076 1.59 9.1282e+08 0.098121 1.4 5.6961e+06 0.2006 2 1.9181e+09 0.14588 1.2002 245.16 73912 0.25419 0.27987 0.73613 0.99369 1 1.2964e+09 0.049933 494.17
1.0862e+09 0.026657 1.59 7.4415e+08 0.092634 1.4 2.0589e+06 0.61355 2 1.8899e+09 0.1493 1.9017 270.22 74959 0.33685 0.16925 0.93213 0.9661 1 5.8682e+08 0.023789 426.2
6.4914e+08 0.028913 1.59 1.2174e+09 0.085992 1.4 3.8391e+06 0.37042 2 1.4821e+09 0.10835 1.7842 290.98 60123 0.0087333 0.71799 0.95363 0.92129 1 2.7597e+07 0.0054664 1664
1.6143e+09 0.015675 1.59 7.0038e+08 0.12367 1.4 9.1513e+05 0.21362 2 1.4615e+09 0.10863 1.9364 255.6 90699 0.014335 0.4849 0.78427 0.98878 1 1.1288e+08 0.012618 7931.3
1.8523e+09 0.046202 1.59 7.2958e+08 0.096559 1.4 1.954e+06 0.38971 2 1.1126e+09 0.13655 1.6417 281.26 74423 0.035964 0.75155 0.16575 0.96853 1 1.4292e+08 0.010838 231.8
1.1307e+09 0.034616 1.59 1.8842e+08 0.08046 1.4 1.1079e+06 0.85372 2 4.7405e+08 0.13872 1.9378 273.52 69291 0.035786 0.59849 0.93524 0.95614 1 8.6586e+07 0.010654 427.22
1.021e+09 0.038251 1.59 1.4665e+09 0.057048 1.4 1.4372e+05 0.68103 2 9.7289e+08 0.13502 1.6761 246.72 58937 0.043022 0.39397 0.64434 0.94162 1 2.1189e+08 0.022009 2625.4
6.2629e+08 0.02627 1.59 6.2905e+08 0.083969 1.4 4.6792e+06 0.65186 2 1.2373e+09 0.095786 1.7604 254.17 73266 0.035857 0.09905 0.60507 0.93626 1 1.4974e+08 0.018361 352.33
5.4229e+08 0.037821 1.59 1.1428e+09 0.1233 1.4 4654.7 0.6331 2 1.7999e+09 0.10324 1.9184 259.75 63972 0.058014 0.80339 0.66331 0.98482 1 2.1536e+08 0.018111 2620.4
6.0082e+08 0.036416 1.59 1.376e+09 0.089798 1.4 1.8994e+06 0.6413 2 1.595e+09 0.12134 1.735 242.51 97723 0.011147 0.55779 0.69493 0.95883 1 1.7283e+08 0.017641 10179
6.0526e+08 0.026096 1.59 6.2413e+07 0.073494 1.4 3.4341e+06 0.68893 2 1.468e+09 0.14892 1.9841 269.93 70959 0.23707 0.55581 0.34145 0.94398 1 3.952e+08 0.020601 462.4
1.9276e+08 0.019092 1.59 6.0926e+08 0.073713 1.4 1.7656e+06 0.27902 2 1.7212e+09 0.12556 1.7074 247.86 69296 0.18898 0.57448 0.48076 0.98737 1 6.4452e+08 0.03416 329.66
1.6765e+09 0.031922 1.59 1.5162e+09 0.1213 1.4 5.3286e+05 0.82964 2 1.7848e+09 0.11237 1.6735 245.31 89007 0.15012 0.70549 0.95278 0.94069 1 9.8947e+08 0.037239 393.19
2.0327e+09 0.02139 1.59 9.573e+08 0.090573 1.4 8.0399e+05 0.79832 2 1.8787e+09 0.12905 1.8685 260.34 51726 0.0083576 0.44888 0.75642 0.95361 1 5.8926e+07 0.0069699 18346
1.288e+09 0.04636 1.59 9.7765e+08 0.07132 1.4 6.2553e+05 0.67015 2 9.8179e+08 0.13656 1.7364 262.79 59553 0.048916 0.90975 0.80687 0.96388 1 1.6126e+08 0.012957 654.66
5.13e+08 0.02234 1.59 1.3481e+09 0.095426 1.4 1.2938e+06 0.95062 2 1.6304e+09 0.05646 1.9983 280.43 93689 0.010619 0.27644 0.36308 0.98141 1 3.849e+07 0.011801 227.38
1.5166e+09 0.029226 1.59 1.4367e+09 0.074639 1.4 1.8255e+06 0.33668 2 1.9305e+09 0.14494 1.5282 255.97 95714 0.18316 0.73688 0.13531 0.95031 1 8.0219e+08 0.031245 516.69
1.1813e+09 0.036122 1.59 9.06e+07 0.12156 1.4 1.7714e+06 0.82941 2 1.6275e+09 0.14552 1.8406 258.67 61627 0.20563 0.52599 0.086837 0.9742 1 4.9299e+08 0.024508 535.58
1.1931e+09 0.029992 1.59 2.6444e+08 0.085444 1.4 2.7767e+06 0.32606 2 1.3494e+09 0.11811 1.8009 255.59 65441 0.039059 0.12232 0.12662 0.91577 1 1.7642e+08 0.017888 3114.1
1.8372e+09 0.018061 1.59 1.018e+08 0.091448 1.4 5.2338e+06 0.47001 2 1.4633e+09 0.13985 1.9891 264.85 84774 0.35274 0.43303 0.33932 0.94921 1 5.2454e+08 0.034136 369.82
4.0226e+08 0.041582 1.59 1.6077e+08 0.06226 1.4 3.0292e+05 0.78941 2 7.7319e+08 0.14319 1.832 286.63 82446 0.046319 0.79736 0.88939 0.91371 1 1.3584e+08 0.0099526 252.43
1.6476e+09 0.022926 1.59 1.0883e+09 0.076528 1.4 4.8423e+06 0.19773 2 1.6008e+09 0.14621 1.4297 288.33 68873 0.011488 0.4404 0.59377 0.95381 1 6.7384e+07 0.0085776 577.95
1.6586e+09 0.01182 1.59 9.4861e+08 0.12488 1.4 3.3491e+05 0.21111 2 1.7167e+09 0.13145 1.9445 262.77 59272 0.057878 0.0813 0.66258 0.93188 1 2.131e+08 0.013265 2485.5
8.2551e+08 0.011708 1.59 6.8256e+08 0.063675 1.4 3.9725e+06 0.60251 2 1.7674e+09 0.12129 1.7634 259.99 82033 0.099824 0.52305 0.80371 0.96875 1 3.643e+08 0.023697 1223.5
2.4168e+07 0.023452 1.59 9.0695e+08 0.081873 1.4 4.7553e+06 0.76901 2 1.5832e+09 0.11937 1.5187 245.19 78536 0.049599 0.41035 0.35361 0.93489 1 3.6415e+08 0.029472 2027.7
4.2018e+07 0.033493 1.59 4.7663e+08 0.090705 1.4 2.4672e+06 0.70723 2 1.2769e+09 0.12403 1.9306 273.85 74313 0.013789 0.73543 0.88176 0.93602 1 5.2111e+07 0.0069267 8992.1
1.0992e+09 0.029267 1.59 6.0145e+08 0.090363 1.4 3.5101e+06 0.51106 2 1.7199e+09 0.12647 1.6929 247.48 60158 0.36568 0.37252 0.46445 0.93073 1 8.3262e+08 0.043548 208.83
1.7615e+09 0.038287 1.59 1.1372e+09 0.077259 1.4 3.2344e+06 0.5054 2 1.3535e+09 0.12083 1.5528 251.24 72130 0.068686 0.67699 0.19443 0.96197 1 3.5719e+08 0.023889 202.95
1.9946e+09 0.04228 1.59 5.0496e+08 0.09269 1.4 5.1044e+06 0.86626 2 1.7115e+09 0.1366 1.8527 289.01 52696 0.10288 0.91453 0.66037 0.91822 1 1.6869e+08 0.0082523 627.4
2.0038e+09 0.04557 1.59 8.2764e+08 0.091081 1.4 1.5506e+06 0.86653 2 1.8629e+09 0.12726 1.9307 263.75 85792 0.15033 0.58925 0.74681 0.98018 1 4.4579e+08 0.023595 952.42
1.0563e+09 0.023743 1.59 4.8004e+08 0.09271 1.4 5.7744e+06 0.17882 2 1.5495e+09 0.13539 1.9319 255.88 75181 0.30705 0.46806 0.14745 0.94773 1 6.016e+08 0.036731 362.14
1.9524e+09 0.017185 1.59 1.7849e+08 0.07025 1.4 5.1875e+06 0.74573 2 1.8199e+09 0.14884 1.9766 282.21 89058 0.039988 0.0033788 0.55883 0.98681 1 1.3971e+08 0.0070021 3535
3.0602e+08 0.024899 1.59 4.5653e+08 0.063979 1.4 4.7934e+06 0.85259 2 1.8154e+09 0.1492 1.921 252.68 60277 0.087407 0.10028 0.59523 0.97593 1 3.2283e+08 0.016371 1695.1
1.9105e+09 0.025485 1.59 1.0988e+09 0.11884 1.4 5.6235e+05 0.42355 2 1.5176e+09 0.14769 1.8299 255.09 92478 0.18696 0.34683 0.98065 0.98782 1 7.3731e+08 0.029728 535.21
1.6575e+09 0.019357 1.59 4.5578e+08 0.077092 1.4 1.7607e+06 0.52 2 3.9143e+08 0.14465 1.9576 258.29 61181 0.0081984 0.5201 0.48234 0.96583 1 3.4528e+07 0.0090614 15500
3.269e+08 0.028431 1.59 1.1938e+09 0.1055 1.4 4.7755e+06 0.53057 2 1.9354e+09 0.14894 1.8014 263.12 66873 0.41855 0.10254 0.60152 0.9635 1 7.7214e+08 0.031946 312.25
1.2036e+09 0.034114 1.59 1.2352e+08 0.090399 1.4 5.2504e+06 0.89633 2 7.4184e+08 0.015498 1.6007 248.72 76623 0.013755 0.8999 0.79181 0.99547 1 6.675e+06 0.025083 438.44
1.7222e+09 0.025216 1.59 1.7518e+08 0.077165 1.4 4.5903e+06 0.80244 2 1.8329e+09 0.14324 1.6678 255.59 90945 0.18391 0.39359 0.59783 0.92 1 7.0671e+08 0.029428 462.1
1.7009e+09 0.036535 1.59 7.1439e+08 0.11739 1.4 9.1789e+05 0.29376 2 1.9439e+09 0.10338 1.9963 256.7 58537 0.25234 0.23334 0.27896 0.91899 1 4.8132e+08 0.034076 528.62
2.0465e+09 0.012645 1.59 1.4772e+09 0.07088 1.4 1.3305e+06 0.71808 2 9.2978e+08 0.14713 1.9835 248.4 99283 0.27603 0.62672 0.51965 0.91592 1 5.2557e+08 0.053502 296.71
1.1053e+09 0.031842 1.59 1.1091e+09 0.077336 1.4 5.7189e+06 0.66929 2 6.5632e+08 0.14155 1.6334 267.43 83096 0.02207 0.35086 0.13618 0.9999 1 8.9623e+07 0.011296 560.56
2.8907e+08 0.032425 1.59 8.5408e+08 0.056843 1.4 3.1718e+06 0.23616 2 5.0222e+08 0.1388 1.7017 250.87 77546 0.013057 0.15505 0.5278 0.94404 1 7.2515e+07 0.016047 7732.6
1.9983e+09 0.038913 1.59 1.1545e+09 0.060763 1.4 4.9502e+06 0.67923 2 1.5345e+09 0.069372 1.8423 258.81 87326 0.009711 0.6642 0.50977 0.95034 1 3.6575e+07 0.012226 867.3
